workclass: ? | Precision: 0.6800 | Recall: 0.4048 | F-beta: 0.5075 | Count: 389
workclass: Federal-gov | Precision: 0.7971 | Recall: 0.7857 | F-beta: 0.7914 | Count: 191
workclass: Local-gov | Precision: 0.7500 | Recall: 0.6818 | F-beta: 0.7143 | Count: 387
workclass: Private | Precision: 0.7362 | Recall: 0.6384 | F-beta: 0.6838 | Count: 4578
workclass: Self-emp-inc | Precision: 0.7586 | Recall: 0.7458 | F-beta: 0.7521 | Count: 212
workclass: Self-emp-not-inc | Precision: 0.7027 | Recall: 0.4968 | F-beta: 0.5821 | Count: 498
workclass: State-gov | Precision: 0.7500 | Recall: 0.6986 | F-beta: 0.7234 | Count: 254
workclass: Without-pay | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 4
education: 10th | Precision: 0.5000 | Recall: 0.2500 | F-beta: 0.3333 | Count: 183
education: 11th | Precision: 1.0000 | Recall: 0.2727 | F-beta: 0.4286 | Count: 225
education: 12th | Precision: 1.0000 | Recall: 0.4000 | F-beta: 0.5714 | Count: 98
education: 1st-4th | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 23
education: 5th-6th | Precision: 1.0000 | Recall: 0.5000 | F-beta: 0.6667 | Count: 62
education: 7th-8th | Precision: 1.0000 | Recall: 0.0000 | F-beta: 0.0000 | Count: 141
education: 9th | Precision: 1.0000 | Recall: 0.3333 | F-beta: 0.5000 | Count: 115
education: Assoc-acdm | Precision: 0.7105 | Recall: 0.5745 | F-beta: 0.6353 | Count: 198
education: Assoc-voc | Precision: 0.6538 | Recall: 0.5397 | F-beta: 0.5913 | Count: 273
education: Bachelors | Precision: 0.7569 | Recall: 0.7333 | F-beta: 0.7449 | Count: 1053
education: Doctorate | Precision: 0.8500 | Recall: 0.8947 | F-beta: 0.8718 | Count: 77
education: HS-grad | Precision: 0.6460 | Recall: 0.4232 | F-beta: 0.5114 | Count: 2085
education: Masters | Precision: 0.8263 | Recall: 0.8502 | F-beta: 0.8381 | Count: 369
education: Preschool | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 10
education: Prof-school | Precision: 0.8163 | Recall: 0.9524 | F-beta: 0.8791 | Count: 116
education: Some-college | Precision: 0.6727 | Recall: 0.5343 | F-beta: 0.5956 | Count: 1485
marital-status: Divorced | Precision: 0.7778 | Recall: 0.3398 | F-beta: 0.4730 | Count: 920
marital-status: Married-AF-spouse | Precision: 1.0000 | Recall: 0.0000 | F-beta: 0.0000 | Count: 4
marital-status: Married-civ-spouse | Precision: 0.7317 | Recall: 0.6922 | F-beta: 0.7114 | Count: 2950
marital-status: Married-spouse-absent | Precision: 1.0000 | Recall: 0.2500 | F-beta: 0.4000 | Count: 96
marital-status: Never-married | Precision: 0.8148 | Recall: 0.4272 | F-beta: 0.5605 | Count: 2126
marital-status: Separated | Precision: 1.0000 | Recall: 0.4211 | F-beta: 0.5926 | Count: 209
marital-status: Widowed | Precision: 1.0000 | Recall: 0.1579 | F-beta: 0.2727 | Count: 208
occupation: ? | Precision: 0.6800 | Recall: 0.4048 | F-beta: 0.5075 | Count: 389
occupation: Adm-clerical | Precision: 0.6389 | Recall: 0.4792 | F-beta: 0.5476 | Count: 726
occupation: Armed-Forces | Precision: 1.0000 | Recall: 1.0000 | F-beta: 1.0000 | Count: 3
occupation: Craft-repair | Precision: 0.6642 | Recall: 0.4917 | F-beta: 0.5651 | Count: 821
occupation: Exec-managerial | Precision: 0.7978 | Recall: 0.7456 | F-beta: 0.7708 | Count: 838
occupation: Farming-fishing | Precision: 0.5455 | Recall: 0.2143 | F-beta: 0.3077 | Count: 193
occupation: Handlers-cleaners | Precision: 0.6667 | Recall: 0.3333 | F-beta: 0.4444 | Count: 273
occupation: Machine-op-inspct | Precision: 0.5714 | Recall: 0.4255 | F-beta: 0.4878 | Count: 378
